produto_comercial,empresa,ingrediente_2,ingrediente
Cortador 806 SL,AllierBrasil Agro Ltda.,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
Coyote,Adama Brasil S.A. - Londrina,Atrazina (triazina),atrazina (triazina)
Coyote WG,Adama Brasil S.A. - Londrina,Atrazina (triazina),atrazina (triazina)
Crater,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,"picloram (acido piridinocarboxilico) and 2,4_D (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d (acido ariloxialcanoico)"
Credit,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,glifosato (glicina substituida),glifosato (glicina substituida)
Credit 480,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,glifosato (glicina substituida),glifosato (glicina substituida)
Creox,Sipcam Nichino Brasil S.A. - Uberaba/MG,sulfentrazona (triazolona),sulfentrazona (triazolona)
Crescendo,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,Triclopir-butotilico (Acido piridiniloxialcanoico),triclopir-butotilico (acido piridiniloxialcanoico)
Creta,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,Fluroxipir-meptilico (Acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico),fluroxipir-meptilico (acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico)
Crucial,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,glifosato-sal de isopropilamina (glicina substituida) and glifosato-sal de potássio (glicina substituida),glifosato-sal de isopropilamina (glicina substituida) and glifosato-sal de potássio (glicina substituida)
Cultifix,Basf S.A. – Sao Paulo,imazapir (imidazolinona),imazapir (imidazolinona)
Daga,Tecnomyl Brasil Distribuidora de Produtos Agricolas Ltda - Foz do Iguaçu,haloxifope-P-metilico (Acido ariloxifenoxipropionico),haloxifope-p-metilico (acido ariloxifenoxipropionico)
Danado,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,picloram (acido piridinocarboxilico),picloram (acido piridinocarboxilico)
Decisive,Monsanto do Brasil Ltda - Sao Paulo,Glifosato-Sal de Di-amonio (glicina substituida),glifosato-sal de di-amonio (glicina substituida)
Decorum,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
DemolidorBR,Ouro Fino Química S.A. - Uberaba,diurom (ureia) and hexazinona (triazinona),diurom (ureia) and hexazinona (triazinona)
Dessecan,Adama Brasil S.A. - Londrina,MSMA (organoarsenico),msma (organoarsenico)
Dessicash,Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA,Dibrometo de diquate (bipiridílio),dibrometo de diquate (bipiridílio)
Dessicash 200 SL,Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA,Dibrometo de diquate (bipiridílio),dibrometo de diquate (bipiridílio)
Destro,Dow Agrosciences Industrial Ltda. - Sao Paulo,Aminopiralide (Acido piridiniloxialcanoico) and Fluroxipir-meptilico (Acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico),aminopiralide (acido piridiniloxialcanoico) and fluroxipir-meptilico (acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico)
Dexa WG,Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA,diurom (ureia) and hexazinona (triazinona),diurom (ureia) and hexazinona (triazinona)
Dez,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
Dez Gold,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,"2,4_D sal sodico (acido ariloxialcanoico)","2,4_d sal sodico (acido ariloxialcanoico)"
Dicamax,Monsanto do Brasil Ltda - Sao Paulo,Dicamba (Acido Benzóico),dicamba (acido benzóico)
Dihex,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,diurom (ureia) and hexazinona (triazinona),diurom (ureia) and hexazinona (triazinona)
Dinamaz 70 WG,FMC Química do Brasil Ltda. - Campinas,imazetapir (imidazolinona),imazetapir (imidazolinona)
Dinamic,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,amicarbazona (triazolinona),amicarbazona (triazolinona)
Dinaxine,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,"2,4_D amina (acido ariloxialcanoico)","2,4_d amina (acido ariloxialcanoico)"
Diox,Ouro Fino Química S.A. - Uberaba,diurom (ureia),diurom (ureia)
Diquash 200 SL,Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA,Dibrometo de diquate (bipiridilio),dibrometo de diquate (bipiridilio)
Diquat 200 SL Rainbow,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,Dibrometo de diquate (bipiridilio),dibrometo de diquate (bipiridilio)
Diquat CCAB 200 SL,CCAB Agro S.A. – Sao Paulo,Dibrometo de diquate (bipiridilio),dibrometo de diquate (bipiridilio)
Direct,Monsanto do Brasil Ltda - Sao Paulo,glifosato-sal de amônio (glicina substituida),glifosato-sal de amônio (glicina substituida)
Direx 500 SC,Adama Brasil S.A. - Londrina,diurom (ureia),diurom (ureia)
Discover 500 WP,FMC Química do Brasil Ltda. - Campinas,clomazona (isoxazolidinona) and hexazinona (triazinona),clomazona (isoxazolidinona) and hexazinona (triazinona)
Disparo,Dow Agrosciences Industrial Ltda. - Sao Paulo,"picloram (acido piridinocarboxilico) and 2,4_D (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d (acido ariloxialcanoico)"
Disparo Ultra,Dow Agrosciences Industrial Ltda. - Sao Paulo,"Aminopiralide (Acido piridiniloxialcanoico) and 2,4_D (acido ariloxialcanoico)","aminopiralide (acido piridiniloxialcanoico) and 2,4_d (acido ariloxialcanoico)"
