id_herb	produto_comercial	empresa	ingrediente	link	registro	dose_(g/L)_(g/kg)	equivalente_acido	Formulacao	soja	soja_dessecação	soja_omg	soja_spd	milho	milho_ogm	milho_spd	algodão_spd	algodão_ogm	algodão	sorgo	algodão_ogm	café_spd	café	trigo_spd	trigo	gramíneas_forrageiras	arroz	arroz_sequeiro	arroz_irrig_spd	arroz_irrigado	arroz_spd	feijão	aveia_preta	Feijão_spd	feijão_vagem	feijão_fava	feijão_guandu	feijão_mungo	feijão_caupi	grão_de_bico	azevém	aveia	lentilha	cana_spd	cana_soca	cana_maturação	Cana_dessecação	cana_roughing	cana	aveia_preta	mandioca	pastagem_spd	pastagem	vazio_sanitário	manejo_outonal	amendoim	centeio	cevada	canola	abacaxi	citros	citros_spd	melão	eucalipto_implantação_da_flores	Eucalipto_Rebrote	eucalipto	pinus_implantação_da_flores	pinus	seringueira	acácia_negra	estrelicia	girassol	quiabo	tomate	alho	banana	cebola	cenoura	batata_dessecação	batata	alface	repolho	jiló	pimenta	pimentão	brocolis	couve-flor	beterraba	batata-doce	berinjela	batata-salsa	fumo	morango	camomila	gengibre	batata_yacon	alfafa	salsa	coentro	braquiaria	aveia	milheto	inhame	ervilha	sorgo	caju	goiaba	manga	mangaba	pera	uva	maçã	ameixa	mamão	melancia	pessego	nectarina	dendê	duboisia	triticale	crisântemo	centeio	cacau	não_agrícola	seringueira	escarola	sisal	côco	momona	caqui	açaí	cará	nabo	mandioquinha-salsa	carambola	rabanete	figo	castanha_do_pará	macadâmia	pinhão	noz_pecã	pupunha	gladíolo	vagem	área_de_pousio	área_não_cultivada	abacate	gramados	espinafre	manejo_outonal	rosa	todas_as_culturas_com_ocorrência_do_alvo_biológico	tabaco	tratamento_do_solo
652	Spinner	Sipcam Nichino Brasil S.A. - Uberaba/MG	2,4-D-dimetilamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/spinner_10986.html	35819	806	670	Concentrado Solúvel (SL)	x				x											x		x																						x				x																																																																																																					
653	Spotlight	FMC Química do Brasil Ltda. - Campinas	carfentrazona-etilica (triazolona)	https://www.agrolink.com.br/agrolinkfito/produto/spotlight_8242.html	7706	400		Concentrado Emulsionável (EC)																																																									x																																																																																								
654	Spraykill	Rainbow Defensivos Agricolas Ltda.- Porto Alegre	Dibrometo de diquate (bipiridílio)	https://www.agrolink.com.br/agrolinkfito/produto/spraykill_10419.html	19317	374 + 200		Concentrado Solúvel (SL)	x																																																																																																																																																
655	Sprayquat	Rainbow Defensivos Agricolas Ltda.- Porto Alegre	dicloreto de paraquate (bipiridílio)	https://www.agrolink.com.br/agrolinkfito/produto/sprayquat_10125.html	5915	276	200	Concentrado Solúvel (SL)	x				x					x				x		x		x					x																	x												x															x				x																																x																																										
656	Staff	Ouro Fino Química S.A. - Uberaba	clomazona (isoxazolidinona)	https://www.agrolink.com.br/agrolinkfito/produto/staff_10695.html	20818	500		Concentrado Emulsionável (EC)	x																																							x																																																																																																									
657	Stam 360	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	propanil (anilida)	https://www.agrolink.com.br/agrolinkfito/produto/stam-360_2964.html	1258305	360		Concentrado Emulsionável (EC)																		x																																																																																																																															
658	Stam 480	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	propanil (anilida)	https://www.agrolink.com.br/agrolinkfito/produto/stam-480_2965.html	1828605	480		Concentrado Emulsionável (EC)																		x																																																																																																																															
659	Stam 800 WG	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	propanil (anilida)	https://www.agrolink.com.br/agrolinkfito/produto/stam-800-wg_8247.html	3798	800		Granulado Dispersível (WG)																		x																																																																																																																															
660	Stampir BR	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	propanil (anilida) + Triclopir-butotilico (Acido piridiniloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/stampir-br_2966.html	799	380 + 55,6	0 + 40	Concentrado Emulsionável (EC)																		x																																																																																																																															
661	Staple 280 CS	Iharabras S.A. Indústria Químicas - Sorocaba	Piritiobaque-sodico (análogo de Acido pirimidiniloxibenzóico)	https://www.agrolink.com.br/agrolinkfito/produto/staple-280-cs_3268.html	4897	280		Concentrado Solúvel (SL)										x																																																																																																																																							
662	Starane 200	Dow Agrosciences Industrial Ltda. - Sao Paulo	Fluroxipir-meptilico (Acido piridiniloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/starane-200_235.html	5394	288,24		Concentrado Emulsionável (EC)																																												x																																																																																																					
663	Starice	Bayer S.A. - Sao Paulo/ SP	fenoxaprope-P-etilico (Acido ariloxifenoxipropionico)	https://www.agrolink.com.br/agrolinkfito/produto/starice_2969.html	2799	69		Concentrado Emulsionável (EC)																		x																																																																																																																															
664	Station 240 SL	CHDS do Brasil Comércio de Insumos Agricolas Ltda	picloram (acido piridinocarboxilico)	https://www.agrolink.com.br/agrolinkfito/produto/station-240-sl_10655.html	14718	388	240	Concentrado Solúvel (SL)																																																																																																																																															x		
665	Stinger	Monsanto do Brasil Ltda - Sao Paulo	glifosato (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/stinger_7669.html	5201	480	360	Concentrado Solúvel (SL)	x				x									x		x		x																			x			x												x																																																		x	x																																										
666	Stinger WG	Monsanto do Brasil Ltda - Sao Paulo	glifosato-sal de amônio (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/stinger-wg_8989.html	4714	792,5	720	Granulado Dispersível (WG)	x		x		x					x				x		x		x																						x				x								x															x																																		x	x	x	x			x	x						x																															
667	Stone	FMC Química do Brasil Ltda. - Campinas	diurom (ureia) + sulfentrazona (triazolona)	https://www.agrolink.com.br/agrolinkfito/produto/stone_10178.html	1116	350 + 175		Suspensão Concentrada (SC)	x													x																										x												x					x																																																																																								
668	Stopper	Dow Agrosciences Industrial Ltda. - Sao Paulo	Fluroxipir-meptilico (Acido piridiniloxialcanoico) + picloram-triisopropanolamina (acido piridinocarboxilico)	https://www.agrolink.com.br/agrolinkfito/produto/stopper_232.html	5597	115,3 + 143,4		Microemulsão (ME)																																												x																																																																																																					
669	Stoy 40 SC	Rotam do Brasil Agroquímica e Produtos Agricolas Ltda.	nicossulfurom (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/stoy-40-sc_8617.html	3212	40		Suspensão Concentrada (SC)					x																																																																																																																																												
670	Style	Du_Pont do Brasil S.A. - Barueri (Alphaville)	hexazinona (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/style_8254.html	1100	750		Granulado Dispersível (WG)																																								x																																																																																																									
671	Sugarina	Rainbow Defensivos Agricolas Ltda.- Porto Alegre	Ametrina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/sugarina_10954.html	25719	500		Suspensão Concentrada (SC)																																								x																																																																																																									
672	Sulfentrazone 500 SC Tagros	Tagros Brasil Comércio de Produtos Químicos Ltda.	sulfentrazona (triazolona)	https://www.agrolink.com.br/agrolinkfito/produto/sulfentrazone-500-sc-tagros_11079.html	3820			Suspensão Concentrada (SC)	x													x																										x											x	x					x																										x																																																														
673	Sumisoya	Sumitomo Chemical do Brasil Representações Ltda.	flumioxazina (ciclohexenodicarboximida)	https://www.agrolink.com.br/agrolinkfito/produto/sumisoya_3287.html	7195	500		Pó molhável (WP)	x				x					x				x									x																	x		x										x					x		x							x		x			x																																																																						x				
674	Sumisoya 500 SC	Sumitomo Chemical do Brasil Representações Ltda.	flumioxazina (ciclohexenodicarboximida)	https://www.agrolink.com.br/agrolinkfito/produto/sumisoya-500-sc_10442.html	22317	500		Suspensão Concentrada (SC)	x				x					x				x									x																	x						x						x					x		x									x			x																																																																										
675	Sumô	Pilarquim Br Comercial Ltda.- Sao Paulo	glifosato-sal de isopropilamina (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/sumo_8262.html	14308	480	360	Concentrado Solúvel (SL)	x				x					x				x				x					x																	x				x								x					x																																													x	x																																										
676	Sumyzin 500	Sumitomo Chemical do Brasil Representações Ltda.	flumioxazina (ciclohexenodicarboximida)	https://www.agrolink.com.br/agrolinkfito/produto/sumyzin-500_8263.html	3600	500		Pó molhável (WP)	x																																							x		x															x		x																																																																																						
677	Sumyzin 500 SC	Sumitomo Chemical do Brasil Representações Ltda.	flumioxazina (ciclohexenodicarboximida)	https://www.agrolink.com.br/agrolinkfito/produto/sumyzin-500-sc_10437.html	22417	500		Suspensão Concentrada (SC)	x				x					x				x									x																	x						x						x					x		x									x			x																																																																										
678	Sunward	Rainbow Defensivos Agricolas Ltda.- Porto Alegre	isoxaflutol (isoxazol)	https://www.agrolink.com.br/agrolinkfito/produto/sunward_11051.html	1120	750		Granulado Dispersível (WG)										x																														x																																																																																																									
679	Surpass	Dow Agrosciences Industrial Ltda. - Sao Paulo	Acetocloro (cloroacetanilida)	http://agrofit.agricultura.gov.br/agrofit_cons/principal_agrofit_cons	8596	768		Concentrado Emulsionável (EC)					x																																			x																																																																																																									
680	Sweep Off	Rainbow Defensivos Agricolas Ltda.- Porto Alegre	2,4-D-dimetilamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/sweep-off_10897.html	11919	975	800	Granulado Dispersível (WG)	x				x									x				x																						x				x																																																																																																					
681	Sweeper	Basf S.A. – Sao Paulo	imazamoxi (imidazolinona)	https://www.agrolink.com.br/agrolinkfito/produto/sweeper_3270.html	4597	700		Granulado Dispersível (WG)	x																						x																																																																																																																										
682	Synero	Dow Agrosciences Industrial Ltda. - Sao Paulo	Aminopiralide (Acido piridiniloxialcanoico) + 2,4-d-triisopropanolamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/synero_10933.html	21819	17,3 + 597	9 + 320	Concentrado Solúvel (SL)																																												x																																																																																																					
683	Synero Ultra	Dow Agrosciences Industrial Ltda. - Sao Paulo	Aminopiralide (Acido piridiniloxialcanoico) + 2,4-D-dimetilamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/synero-ultra_11087.html	4620	14,62 + 512,05	12 + 425	Concentrado Solúvel (SL)																																												x																																																																																																					
684	Targa 50 EC	Nissan Chemical do Brasil Representação de Produtos Agroquimicos Ltda.	quizalofope-P-etilico (Acido ariloxifenoxipropionico)	https://www.agrolink.com.br/agrolinkfito/produto/targa-50-ec_2970.html	3897	50		Concentrado Emulsionável (EC)	x									x													x																								x																		x			x																																																																													
685	Targa Max	Iharabras S.A. Indústria Químicas - Sorocaba	quizalofope-P-etilico (Acido ariloxifenoxipropionico)	https://www.agrolink.com.br/agrolinkfito/produto/targa-max_10410.html	12117	50		Concentrado Emulsionável (EC)	x									x				x		x							x							x	x		x	x													x		x			x													x			x			x																								x																x		x																																
686	Teardown	Sinon do Brasil Ltda. - Porto Alegre /RS.	glifosato-sal de isopropilamina (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/teardown_8860.html	10312	480		Concentrado Solúvel (SL)	x				x					x				x																										x												x																																																																																													
687	Tecnup	Tecnomyl Brasil Distribuidora de Produtos Agricolas Ltda - Foz do Iguaçu	glifosato (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/tecnup_10748.html	28918	480	360	Concentrado Solúvel (SL)	x				x									x		x		x																						x				x								x					x		x								x																																		x	x	x	x			x	x						x																															
688	Tempest	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	Dibrometo de diquate (bipiridílio)	https://www.agrolink.com.br/agrolinkfito/produto/tempest_10685.html	18118	374	200	Concentrado Solúvel (SL)	x																																																																																																																																																
689	Templo	Ouro Fino Química S.A. - Uberaba	glifosato-sal de isopropilamina (glicina substituida) + glifosato-sal de potássio (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/templo_10775.html	34118	295, 1 + 396,5	540	Concentrado Solúvel (SL)	x				x					x				x		x		x					x																	x				x								x					x		x																																											x	x																																										
690	Tenace	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	metribuzim (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/tenace_8910.html	10313	480		Suspensão Concentrada (SC)	x																																							x																									x						x																																																																										
691	Tento 867 SL	Dow Agrosciences Industrial Ltda. - Sao Paulo	2,4-D (acido ariloxialcanoico)	NA	NA	NA	NA	NA																																																																																																																																																	
692	Texas	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	picloram (acido piridinocarboxilico)	https://www.agrolink.com.br/agrolinkfito/produto/texas_7718.html	18407	388		Concentrado Solúvel (SL)																																												x																																																																																																					
693	Thunder	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	amicarbazona (triazolinona)	https://www.agrolink.com.br/agrolinkfito/produto/thunder_8626.html	4412	700		Granulado Dispersível (WG)					x																																																																																																																																												
694	Tibet	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	Fluroxipir-meptilico (Acido piridiniloxialcanoico) + picloram (acido piridinocarboxilico)	https://www.agrolink.com.br/agrolinkfito/produto/tibet_10625.html	10918	115 + 129,5	80 + 80	Microemulsão (ME)																																												x																																																																																																					
695	Tocha	Stockton Agrimor do Brasil Ltda.	Paraquate (bipiridílio) + dicloreto de paraquate (bipiridílio)	https://www.agrolink.com.br/agrolinkfito/produto/tocha_7889.html	13208	200 + 276		Concentrado Solúvel (SL)		x		x			x			x				x	x																							x																																x																																																																											
696	Toco	Stockton Agrimor do Brasil Ltda.	picloram (acido piridinocarboxilico)	https://www.agrolink.com.br/agrolinkfito/produto/toco_7809.html	2008	427		Concentrado Solúvel (SL)																																												x																																																																																																					
697	Togar TB	Dow Agrosciences Industrial Ltda. - Sao Paulo	picloram (acido piridinocarboxilico) + Triclopir-butotilico (Acido piridiniloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/togar-tb_7411.html	6007	43,94 + 83,53		Concentrado Emulsionável (EC)																																												x																																																																																																					
698	Token	BRA Defensivos Agricolas Ltda. (Piracicaba)	hexazinona (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/token_10412.html	10017	750		Granulado Dispersível (WG)																																								x																																																																																																									
699	Topatudo	Agro Import do Brasil Ltda.	glifosato-sal de isopropilamina (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/topatudo_10838.html	1719	480	360	Concentrado Solúvel (SL)	x				x									x		x		x																						x				x								x					x		x								x																																		x	x	x	x			x	x						x																															
700	Topgan	Adama Brasil S.A. - Londrina	imazaquim (imidazolinona)	https://www.agrolink.com.br/agrolinkfito/produto/topgan_23.html	4497	161	150	Concentrado Solúvel (SL)	x																																																																																																																																																
701	Topgan 150	Adama Brasil S.A. - Londrina	imazaquim (imidazolinona)	https://www.agrolink.com.br/agrolinkfito/produto/topgan-150_8275.html	4504	161	150	Concentrado Solúvel (SL)	x																																																																																																																																																
702	Topgan WG	Adama Brasil S.A. - Londrina	imazaquim (imidazolinona)	https://www.agrolink.com.br/agrolinkfito/produto/topgan-wg_7681.html	9999	700		Granulado Dispersível (WG)	x																																																																																																																																																
703	Topik 240 EC	Syngenta Proteção de Cultivos Ltda. – Sao Paulo	Clodinafope-Propargil (Acido ariloxifenoxipropionico)	https://www.agrolink.com.br/agrolinkfito/produto/topik-240-ec_7191.html	1506	240		Concentrado Emulsionável (EC)	x															x																																																																																																																																	
704	Topinam	Tecnomyl Brasil Distribuidora de Produtos Agricolas Ltda - Foz do Iguaçu	Triclopir-butotilico (Acido piridiniloxialcanoico) + Triclopir-butotilico (Acido piridiniloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/topinam_10963.html	28319	667	480	Concentrado Emulsionável (EC)																		x																										x																																																																																																					
705	Tordon	Dow Agrosciences Industrial Ltda. - Sao Paulo	picloram-trietanolamina (acido piridinocarboxilico) + 2,4-D-trietanolamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/tordon_8447.html	358709	103,6 + 402	64 + 240	Concentrado Solúvel (SL)																																												x													x																																																																																								
706	Tordon Ultra	Dow Agrosciences Industrial Ltda. - Sao Paulo	Aminopiralide (Acido piridiniloxialcanoico) + 2,4-D-dimetilamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/tordon-ultra-s_11085.html	4420	60,9 + 481,93	50 + 400	Concentrado Solúvel (SL)																																												x																																																																																																					
707	Tordon XT	Dow Agrosciences Industrial Ltda. - Sao Paulo	Aminopiralide (Acido piridiniloxialcanoico) + 2,4-d-triisopropanolamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/tordon-xt_10135.html	6215	76,9 + 596,9	40 + 320	Concentrado Solúvel (SL)																																												x																																																																																																					
708	Totril	Bayer S.A. - Sao Paulo/ SP	ioxinil (benzonitrila)	https://www.agrolink.com.br/agrolinkfito/produto/totril_2971.html	2208304	335	250	Concentrado Emulsionável (EC)																																																																		x		x																																																																													
709	Touchdown	Syngenta Proteção de Cultivos Ltda. – Sao Paulo	glifosato-sal de potássio (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/touchdown_2865.html	4201	620	500	Concentrado Solúvel (SL)	x				x						x			x		x								x																																	x		x																																		x																																																				
710	Tractor	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	picloram (acido piridinocarboxilico) + 2,4-D-trietanolamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/tractor_7812.html	2708	103 + 406		Concentrado Solúvel (SL)																																								x				x																																																																																																					
711	Tricea	Dow Agrosciences Industrial Ltda. - Sao Paulo	pyroxsulam (triazolopirimidina sulfonanilida)	https://www.agrolink.com.br/agrolinkfito/produto/tricea_8982.html	4414	45		Dispersão de óleo (OD)																x																																																																																																																																	
712	Triclon	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	Triclopir-butotilico (Acido piridiniloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/triclon_8045.html	17208	680	480	Concentrado Emulsionável (EC)	x				x											x		x																										x																																																																																																					
713	Triclopir CCAB 480 EC	CCAB Agro S.A. – Sao Paulo	Triclopir-butotilico (Acido piridiniloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/triclopir-ccab-480-ec_10895.html	11719	667	480	Concentrado Emulsionável (EC)																					x																							x																																																																																																					
714	Triclopyr 480 Volagro	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	Triclopir-butotilico (Acido piridiniloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/triclopyr-480-volagro_8276.html	309	680		Concentrado Emulsionável (EC)																																												x																																																																																																					
715	Trifluralina Atanor 445 EC	Albaugh Agro Brasil Ltda.- Sao Paulo	trifluralina (dinitroanilina)	https://www.agrolink.com.br/agrolinkfito/produto/trifluralina-atanor-445-ec_3263.html	5595	445		Concentrado Emulsionável (EC)	x																																																																																																																																																
716	Trifluralina H Nortox	Nortox S.A. - Arapongas	hexazinona (triazinona) + trifluralina (dinitroanilina)	https://www.agrolink.com.br/agrolinkfito/produto/trifluralina-h-nortox_10682.html	17718	100 + 400		Concentrado Emulsionável (EC)																																								x																																																																																																									
717	Trifluralina Milenia	Adama Brasil S.A. - Londrina	trifluralina (dinitroanilina)	https://www.agrolink.com.br/agrolinkfito/produto/trifluralina-milenia_69.html	18893	445		Concentrado Emulsionável (EC)	x									x													x																								x																																																																																																		
718	Trifluralina Nortox	Nortox S.A. - Arapongas	trifluralina (dinitroanilina)	https://www.agrolink.com.br/agrolinkfito/produto/trifluralina-nortox_49.html	2438591	445		Concentrado Emulsionável (EC)	x									x													x																								x					x											x	x	x	x		x	x				x			x		x			x																																																					x								x			
719	Trifluralina Nortox Gold	Nortox S.A. - Arapongas	trifluralina (dinitroanilina)	https://www.agrolink.com.br/agrolinkfito/produto/trifluralina-nortox-gold_50.html	8698	450		Concentrado Emulsionável (EC)	x				x					x								x					x																	x									x																																																																																																
720	Trilla	Rainbow Defensivos Agricolas Ltda.- Porto Alegre	diurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/trilla_10876.html	8819	500		Suspensão Concentrada (SC)										x				x																										x											x	x																																																														x																															
721	Troller	Yonon Biociências e Defensivos Agricolas Ltda.	2,4-D (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/troller_10717.html	24218	806	670	Concentrado Solúvel (SL)	x				x											x		x																						x				x																																																																																																					
722	Tronador Ultra	Dow Agrosciences Industrial Ltda. - Sao Paulo	Aminopiralide (Acido piridiniloxialcanoico) + 2,4-D-dimetilamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/tronador-ultra-s_11086.html	4520	14,62 + 512,05	12 + 425	Concentrado Solúvel (SL)																																												x																																																																																																					
723	Trop	Adama Brasil S.A. - Londrina	glifosato-sal de isopropilamina (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/trop_31.html	3495	480	355,67	Concentrado Solúvel (SL)	x				x					x				x		x		x																						x												x					x		x																																												x													x																													
724	Trop 480 SL	Adama Brasil S.A. - Londrina	glifosato (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/trop-480-sl_10644.html	13518	480	355,67	Concentrado Solúvel (SL)	x				x					x				x		x		x																						x				x								x					x		x																																											x	x													x																													
725	Trop SL	Adama Brasil S.A. - Londrina	glifosato (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/trop-sl_10642.html	13318	480	355,67	Concentrado Solúvel (SL)	x				x					x				x		x		x																						x				x								x					x		x	x																																										x	x																																										
726	Tropero	Stockton Agrimor do Brasil Ltda.	picloram (acido piridinocarboxilico)	https://www.agrolink.com.br/agrolinkfito/produto/tropero_7884.html	2808	427		Concentrado Solúvel (SL)																																												x																																																																																																					
727	Trovati	FMC Química do Brasil Ltda. - Campinas	clomazona (isoxazolidinona)	https://www.agrolink.com.br/agrolinkfito/produto/trovati_10741.html	27418	500		Concentrado Emulsionável (EC)	x																	x																						x		x																																		x																																																																					
728	Troya	Biesterfeld do Brasil Ind. e Com. de Prod. Químicos Ltda.	glifosato-sal de isopropilamina (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/troya_10771.html	33718	480	360	Concentrado Solúvel (SL)	x				x									x		x		x																						x				x								x					x		x								x																																		x	x	x	x			x	x						x																															
729	Trueno	Dow Agrosciences Industrial Ltda. - Sao Paulo	Aminopiralide (Acido piridiniloxialcanoico) + Fluroxipir-meptilico (Acido piridiniloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/trueno_8544.html	9911	40 + 115,3	80	Emulsão Óleo em Água (EO)																																												x																																																																																																					
730	Trueno XT	Dow Agrosciences Industrial Ltda. - Sao Paulo	Aminopiralide (Acido piridiniloxialcanoico) + picloram (acido piridinocarboxilico) + Triclopir-butotilico (Acido piridiniloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/trueno-xt_10630.html	11418	59,17 + 115,74 + 208,62	50 + 100 + 150	Emulsão Óleo em Água (EW)																																												x																																																																																																					
731	Trunfo	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	Glufosinato - sal de amônio (homoalanina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/trunfo_10815.html	41818	280		Concentrado Solúvel (SL)	x				x					x													x																																																																																																																										
732	Trunker	Dow Agrosciences Industrial Ltda. - Sao Paulo	Triclopir-butotilico (Acido piridiniloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/trunker_8988.html	1614	667		Concentrado Emulsionável (EC)																					x																							x																																																																																																					
733	Truper	Dow Agrosciences Industrial Ltda. - Sao Paulo	Fluroxipir-meptilico (Acido piridiniloxialcanoico) + Triclopir-butotilico (Acido piridiniloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/truper_7113.html	6706	115,3 + 333,8		Concentrado Emulsionável (EC)																																												x																																																																																																					
734	Tucson	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	picloram (acido piridinocarboxilico) + 2,4-D-trietanolamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/tucson_8023.html	18707	103 + 406		Concentrado Solúvel (SL)																																												x																																																																																																					
735	Tupan 720 WG	Cropchem Ltda	glifosato-sal de amônio (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/tupan-720-wg_10118.html	9315	792,5		Granulado Dispersível (WG)	x				x					x				x		x		x																						x				x								x															x																																		x	x	x	x			x	x						x																															
736	Turuna	Stockton Agrimor do Brasil Ltda.	picloram (acido piridinocarboxilico) + 2,4-D (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/turuna_7700.html	14207	114 + 447		Concentrado Solúvel (SL)																																												x																																																																																																					
737	Twister	FMC Química do Brasil Ltda. - Campinas	clorimurom-etilico (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/twister_5587.html	3103	250		Granulado Dispersível (WG)	x																																																																																																																																																
738	Tyson 750 WG	Rotam do Brasil Agroquímica e Produtos Agricolas Ltda.	nicossulfurom (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/tyson-750-wg_7878.html	8913	750		Granulado Dispersível (WG)	x				x																																																																																																																																												
739	U 46 BR	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	2,4-D-dimetilamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/u-46-br_4767.html	1803	806		Concentrado Solúvel (SL)	x				x									x				x																						x				x																																																																																																					
740	U 46 D-Fluid 2,4-D	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	2,4-D-dimetilamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/u-46-d-fluid-2-4-d_3269.html	4118103	806	670	Concentrado Solúvel (SL)	x				x									x		x		x																						x				x																																																																																																					
741	U 46 Prime	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	2,4-D-dimetilamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/u-46-prime_5799.html	2704	806	670	Concentrado Solúvel (SL)	x				x									x		x		x																						x																																																																																																									
742	Ultimato SC	Albaugh Agro Brasil Ltda.- Sao Paulo	Atrazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/ultimato-sc_4780.html	602	500		Suspensão Concentrada (SC)					x						x																													x																																																																																																									
743	Ultimato WG	Albaugh Agro Brasil Ltda.- Sao Paulo	Atrazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/ultimato-wg_10957.html	26019	900		Granulado Dispersível (WG)					x						x																																																																																																																																						
744	Unimark 480 SC	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	metribuzim (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/unimark-480-sc_10540.html	37717	480		Suspensão Concentrada (SC)	x													x		x																								x		x																							x						x																																																																										
745	Unimark 700 WG	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	metribuzim (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/unimark-700-wg_8559.html	9711	700		Granulado Dispersível (WG)	x																																							x																									x						x																																																																										
746	UP-Stage	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	clomazona (isoxazolidinona)	https://www.agrolink.com.br/agrolinkfito/produto/up-stage_10096.html	7514	500		Concentrado Emulsionável (EC)	x									x								x																						x		x																																		x							x																																																														
747	Valeos	Basf S.A. – Sao Paulo	saflufenacil (pirimidinadiona)	https://www.agrolink.com.br/agrolinkfito/produto/valeos_10083.html	2515	700		Granulado Dispersível (WG)																																																									x		x	x	x																																																																																				
