produto_comercial,empresa,numero,ing_ativo
Imazetapir 106 BR,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,6613,imazetapir (imidazolinona)
Intruder,Dow Agrosciences Industrial Ltda. - São Paulo,7014,"2,4-D (ácido ariloxialcanóico) + picloram (ácido piridinocarboxílico)"
Jacaré,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,13808,"2,4-D (ácido ariloxialcanóico) + picloram (ácido piridinocarboxílico)"
Jaguar,Dow Agrosciences Industrial Ltda. - São Paulo,13307,"2,4-D (ácido ariloxialcanóico) + Aminopiralide (ácido piridiniloxialcanóico)"
JaguarUltra-S,Dow Agrosciences Industrial Ltda. - São Paulo,5720,"2,4-D-dimetilamina (ácido ariloxialcanóico) + Aminopiralide (ácido piridiniloxialcanóico)"
Jornada,Dow Agrosciences Industrial Ltda. - São Paulo,7914,"2,4-D (ácido ariloxialcanóico) + picloram (ácido piridinocarboxílico)"
Kick-Off 480 SL,AllierBrasil Agro Ltda.,15717,glifosato-sal de isopropilamina (glicina substituída)
Kifix,Basf S.A. – São Paulo,7907,imazapique (imidazolinona) + imazapir (imidazolinona)
Krost 806 SL,Cropchem Ltda,30417,"2,4-D (ácido ariloxialcanóico)"
Krost 970 WG,Cropchem Ltda,2318,"2,4-D-dimetilamina (ácido ariloxialcanóico)"
Labrador,Helm do Brasil Mercantil Ltda,4411,"2,4-D (ácido ariloxialcanóico) + picloram (ácido piridinocarboxílico)"
Lava 100,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,708,tebutiurom (uréia)
Lavra,BRA Defensivos Agrícolas Ltda. (Piracicaba),16718,"2,4-D (ácido ariloxialcanóico) + picloram (ácido piridinocarboxílico)"
Leopard,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,5808,picloram (ácido piridinocarboxílico)
