id_herb,produto_comercial,empresa,ingrediente,link,registro,dose_(g/L)_(g/kg),equivalente_acido,Formulacao,culturas,bula,form_sigla,form_tipo,dose_gkg,dose_gL,ia_1,ia_2,ia_3,dose_gkg_ia_1
393,Keltor,Basf S.A. – Sao Paulo,saflufenacil (pirimidinadiona),https://www.agrolink.com.br/agrolinkfito/produto/keltor_10804.html,40718,700,NA,granulado dispersível (wg),arroz,x,wg,seco,700,NA,saflufenacil ,,,700
393,Keltor,Basf S.A. – Sao Paulo,saflufenacil (pirimidinadiona),https://www.agrolink.com.br/agrolinkfito/produto/keltor_10804.html,40718,700,NA,granulado dispersível (wg),feijão,x,wg,seco,700,NA,saflufenacil ,,,700
393,Keltor,Basf S.A. – Sao Paulo,saflufenacil (pirimidinadiona),https://www.agrolink.com.br/agrolinkfito/produto/keltor_10804.html,40718,700,NA,granulado dispersível (wg),cana,x,wg,seco,700,NA,saflufenacil ,,,700
393,Keltor,Basf S.A. – Sao Paulo,saflufenacil (pirimidinadiona),https://www.agrolink.com.br/agrolinkfito/produto/keltor_10804.html,40718,700,NA,granulado dispersível (wg),girassol,x,wg,seco,700,NA,saflufenacil ,,,700
393,Keltor,Basf S.A. – Sao Paulo,saflufenacil (pirimidinadiona),https://www.agrolink.com.br/agrolinkfito/produto/keltor_10804.html,40718,700,NA,granulado dispersível (wg),batata,x,wg,seco,700,NA,saflufenacil ,,,700
393,Keltor,Basf S.A. – Sao Paulo,saflufenacil (pirimidinadiona),https://www.agrolink.com.br/agrolinkfito/produto/keltor_10804.html,40718,700,NA,granulado dispersível (wg),momona,x,wg,seco,700,NA,saflufenacil ,,,700
394,Kennox,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,cletodim (oxima ciclohexanodiona) + haloxifope-P-metilico (Acido ariloxifenoxipropionico),https://www.agrolink.com.br/agrolinkfito/produto/kennox_10720.html,24518,240 + 123.6,120,concentrado emulsionável (ec),soja,x,ec,líquido,NA,240 + 123.6,cletodim ,haloxifope-P-metilico ,,NA
394,Kennox,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,cletodim (oxima ciclohexanodiona) + haloxifope-P-metilico (Acido ariloxifenoxipropionico),https://www.agrolink.com.br/agrolinkfito/produto/kennox_10720.html,24518,240 + 123.6,120,concentrado emulsionável (ec),algodão,x,ec,líquido,NA,240 + 123.6,cletodim ,haloxifope-P-metilico ,,NA
395,Kick-Off 480 SL,AllierBrasil Agro Ltda.,glifosato-sal de isopropilamina (glicina substituida),http://agrofit.agricultura.gov.br/agrofit_cons/principal_agrofit_cons,15717,480,360,concentrado solúvel (sl),soja,x,sl,líquido,NA,480,glifosato-sal de isopropilamina ,,,NA
395,Kick-Off 480 SL,AllierBrasil Agro Ltda.,glifosato-sal de isopropilamina (glicina substituida),http://agrofit.agricultura.gov.br/agrofit_cons/principal_agrofit_cons,15717,480,360,concentrado solúvel (sl),milho,x,sl,líquido,NA,480,glifosato-sal de isopropilamina ,,,NA
395,Kick-Off 480 SL,AllierBrasil Agro Ltda.,glifosato-sal de isopropilamina (glicina substituida),http://agrofit.agricultura.gov.br/agrofit_cons/principal_agrofit_cons,15717,480,360,concentrado solúvel (sl),café,x,sl,líquido,NA,480,glifosato-sal de isopropilamina ,,,NA
395,Kick-Off 480 SL,AllierBrasil Agro Ltda.,glifosato-sal de isopropilamina (glicina substituida),http://agrofit.agricultura.gov.br/agrofit_cons/principal_agrofit_cons,15717,480,360,concentrado solúvel (sl),trigo,x,sl,líquido,NA,480,glifosato-sal de isopropilamina ,,,NA
395,Kick-Off 480 SL,AllierBrasil Agro Ltda.,glifosato-sal de isopropilamina (glicina substituida),http://agrofit.agricultura.gov.br/agrofit_cons/principal_agrofit_cons,15717,480,360,concentrado solúvel (sl),arroz,x,sl,líquido,NA,480,glifosato-sal de isopropilamina ,,,NA
395,Kick-Off 480 SL,AllierBrasil Agro Ltda.,glifosato-sal de isopropilamina (glicina substituida),http://agrofit.agricultura.gov.br/agrofit_cons/principal_agrofit_cons,15717,480,360,concentrado solúvel (sl),cana,x,sl,líquido,NA,480,glifosato-sal de isopropilamina ,,,NA
395,Kick-Off 480 SL,AllierBrasil Agro Ltda.,glifosato-sal de isopropilamina (glicina substituida),http://agrofit.agricultura.gov.br/agrofit_cons/principal_agrofit_cons,15717,480,360,concentrado solúvel (sl),pastagem,x,sl,líquido,NA,480,glifosato-sal de isopropilamina ,,,NA
